Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
3	Kirby Dach	Saskatoon Blades	WHL	62	25	48	73	40	15	10	5	3	8	6	Other
4	Bowen Byram	Vancouver Giants	WHL	67	26	45	71	80	33	22	8	18	26	18	NHL [0.4, 0.6)
7	Dylan Cozens	Lethbridge Hurricanes	WHL	68	34	50	84	30	32	7	4	4	8	2	NHL [0.4, 0.6)
17	Peyton Krebs	Kootenay Ice	WHL	64	19	49	68	63	-50	0	0	0	0	0	NHL [0.2, 0.4)
18	Thomas Harley	Mississauga Steelheads	OHL	68	11	47	58	24	-15	4	0	4	4	4	NHL [0.4, 0.6)
19	Lassi Thomson	Kelowna Rockets	WHL	63	17	24	41	40	0	0	0	0	0	0	AHL [0.2, 0.4)
21	Samuel Poulin	Sherbrooke Phoenix	QMJHL	67	29	47	76	46	8	10	8	6	14	4	AHL [0.6, 0.8)
24	Philip Tomasino	Niagara IceDogs	OHL	67	34	38	72	32	37	11	4	3	7	5	NHL [0.4, 0.6)
25	Connor McMichael	London Knights	OHL	67	36	36	72	19	15	11	2	3	5	2	NHL [0.4, 0.6)
26	Jakob Pelletier	Moncton Wildcats	QMJHL	65	39	50	89	24	27	7	2	1	3	2	Other
27	Nolan Foote	Kelowna Rockets	WHL	66	36	27	63	62	-1	0	0	0	0	0	Other
28	Ryan Suzuki	Barrie Colts	OHL	65	25	50	75	14	7	0	0	0	0	0	AHL [0.4, 0.6)
29	Brayden Tracey	Moose Jaw Warriors	WHL	66	36	45	81	28	33	2	0	1	1	4	AHL [0.4, 0.6)
33	Arthur Kaliyev	Hamilton Bulldogs	OHL	67	51	51	102	22	-13	4	1	1	2	0	NHL [0.2, 0.4)
38	Raphael Lavoie	Halifax Mooseheads	QMJHL	62	32	41	73	31	36	23	20	12	32	22	AHL [0.6, 0.8)
41	Kaedan Korczak	Kelowna Rockets	WHL	68	4	29	33	64	-8	0	0	0	0	0	NHL [0.2, 0.4)
44	Jamieson Rees	Sarnia Sting	OHL	37	10	22	32	38	-10	4	0	0	0	4	AHL [0.0, 0.2)
48	Artemi Kniazev	Chicoutimi Sagueneens	QMJHL	55	13	21	34	32	11	4	0	2	2	8	AHL [0.2, 0.4)
49	Matthew Robertson	Edmonton Oil Kings	WHL	52	7	26	33	26	18	16	4	4	8	10	AHL [0.2, 0.4)
52	Vladislav Kolyachonok	Flint Firebirds	OHL	54	4	26	30	44	-22	0	0	0	0	0	AHL [0.2, 0.4)
53	Nicholas Robertson	Peterborough Petes	OHL	54	27	28	55	24	-3	5	1	1	2	2	NHL [0.4, 0.6)
55	Dillon Hamaliuk	Seattle Thunderbirds	WHL	31	11	15	26	32	-2	0	0	0	0	0	Not_In_NHL_AHL
56	Brett Leason	Prince Albert Raiders	WHL	55	36	53	89	28	55	22	10	15	25	15	NHL [0.2, 0.4)
57	Samuel Bolduc	Blainville-Boisbriand Armada	QMJHL	65	9	28	37	27	-32	5	1	1	2	4	NHL [0.0, 0.2)
61	Nikita Okhotyuk	Ottawa 67s	OHL	56	2	15	17	43	30	18	1	1	2	15	NHL [0.0, 0.2)
62	Nikita Alexandrov	Charlottetown Islanders	QMJHL	64	27	34	61	36	24	6	4	3	7	0	NHL [0.0, 0.2)
69	John Ludvig	Portland Winterhawks	WHL	58	5	13	18	77	38	3	0	1	1	7	NHL [0.0, 0.2)
74	Nathan Legare	Baie-Comeau Drakkar	QMJHL	68	45	42	87	52	37	7	3	1	4	6	AHL [0.0, 0.2)
75	Adam Beckman	Spokane Chiefs	WHL	68	32	30	62	16	19	15	8	4	12	2	AHL [0.6, 0.8)
77	Gianni Fairbrother	Everett Silvertips	WHL	64	10	26	36	83	23	10	0	4	4	9	Other
78	Alex Beaucage	Rouyn-Noranda Huskies	QMJHL	68	39	40	79	44	46	16	5	11	16	6	AHL [0.2, 0.4)
80	Graeme Clarke	Ottawa 67s	OHL	55	23	11	34	34	7	18	7	7	14	10	AHL [0.6, 0.8)
81	Cole Schwindt	Mississauga Steelheads	OHL	68	19	30	49	25	4	4	1	0	1	2	AHL [0.4, 0.6)
82	Michael Vukojevic	Kitchener Rangers	OHL	68	3	26	29	65	3	4	0	1	1	6	AHL [0.2, 0.4)
