Name	Position	League	Team	Height	Weight
Sidney Crosby	C	QMJHL	Rimouski	177.5	200
Bobby Ryan	RW	OHL	Owen Sound	185.0	208
Benoit Pouliot	LW	OHL	Sudbury	187.5	199
Carey Price	G	WHL	Tri-City	187.5	219
Gilbert Brule	C	WHL	Vancouver	177.5	186
Devin Setoguchi	RW	WHL	Saskatoon	180.0	200
Luc Bourdon	D	QMJHL	Val d'Or	187.5	211
Marc Staal	D	OHL	Sudbury	190.0	208
Marek Zagrapan	C	QMJHL	Chicoutimi	182.5	195
Ryan O'Marra	C	OHL	Erie	185.0	220
Alex Bourret	RW	QMJHL	Lewiston	175.0	205
Ryan Parent	D	OHL	Guelph	187.5	198
Jakub Kindl	D	OHL	Kitchener	187.5	199
Kenndal McArdle	LW	WHL	Moose Jaw	177.5	190
Matt Lashoff	D	OHL	Kitchener	185.0	204
Matt Pelech	D	OHL	Sarnia	190.0	220
Steve Downie	RW	OHL	Windsor	177.5	191
Brendan Mikkelson	D	WHL	Portland	187.5	205
Tyler Plante	G	WHL	Brandon	187.5	191
James Neal	LW	OHL	Plymouth	185.0	208
Marc-Edouard Vlasic	D	QMJHL	Quebec	182.5	200
Scott Jackson	D	WHL	Seattle	187.5	219
Michael Sauer	D	WHL	Portland	187.5	213
Mike Blunden	RW	OHL	Erie	190.0	211
Guillaume Latendresse	RW	QMJHL	Drummondville	185.0	230
Dustin Kohn	D	WHL	Calgary	182.5	200
Chad Denny	D	QMJHL	Lewiston	187.5	210
Dany Roussin	LW	QMJHL	Rimouski	185.0	190
Chris Durand	C	WHL	Seattle	182.5	186
Adam McQuaid	D	OHL	Sudbury	190.0	197
Marc-Andre Cliche	RW	QMJHL	Lewiston	180.0	200
Matt Kassian	LW	WHL	Kamloops	190.0	232
Pier-Olivier Pelletier	G	QMJHL	Drummondville	182.5	175
Kris Letang	D	QMJHL	Val d'Or	180.0	201
Joe Barnes	C	WHL	Saskatoon	187.5	212
Kristofer Westblom	G	WHL	Kelowna	182.5	155
Brodie Dupont	C	WHL	Calgary	185.0	212
Kris Russell	D	WHL	Medicine Hat	175.0	174
Evan Brophey	F	OHL	Belleville	185.0	199
Gord Baldwin	D	WHL	Medicine Hat	192.5	199
Rich Clune	LW	OHL	Sarnia	175.0	199
Radek Smolenak	LW	OHL	Kingston	185.0	207
Dan Ryder	C	OHL	Peterborough	177.5	193
Dalyn Flatt	D	WHL	Saskatoon	187.5	215
Cody Franson	D	WHL	Vancouver	192.5	213
Danny Syvret	D	OHL	London	177.5	203
Phil Oreskovic	D	OHL	Brampton	190.0	217
Mark Fraser	D	OHL	Kitchener	187.5	220
Marc-Andre Gragnani	D	QMJHL	P.E.I.	185.0	201
Chris Lawrence	C	OHL	Sault Ste. Marie	190.0	211
Dan Collins	RW	OHL	Plymouth	182.5	185
Oskars Bartulis	D	QMJHL	Moncton	185.0	184
Olivier Legault	LW	QMJHL	Lewiston	192.5	238
Cody Bass	C	OHL	Mississauga	182.5	204
Patrick Davis	LW	OHL	Kitchener	185.0	195
Blair Jones	C	WHL	Moose Jaw	185.0	216
Tom Pyatt	C	OHL	Saginaw	177.5	187
Kyle Bailey	C	WHL	Portland	185.0	182
J.D. Watt	RW	WHL	Regina	182.5	198
Alexandre Vincent	G	QMJHL	Chicoutimi	190.0	193
Jordan Lavallee-Smotherman	LW	QMJHL	Quebec	187.5	225
Patrick McNeill	D	OHL	Saginaw	180.0	198
Jeremy Duchesne	G	QMJHL	Halifax	180.0	201
Viacheslav Trukhno	C	QMJHL	P.E.I.	182.5	197
Ray Macias	D	WHL	Kamloops	185.0	195
Bobby Bolt	LW	OHL	Kingston	190.0	219
Kevin Lalande	G	OHL	Belleville	180.0	175
Mathieu Aubin	C	QMJHL	Lewiston	187.5	190
Darren Helm	F	WHL	Medicine Hat	177.5	195
Stanislav Lascek	RW	QMJHL	Chicoutimi	180.0	195
Taylor Dakers	G	WHL	Kootenay	182.5	175
Daren Machesney	G	OHL	Brampton	180.0	182
Masi Marjamaki	RW	WHL	Moose Jaw	185.0	184
Trevor Koverko	D	OHL	Owen Sound	187.5	205
Derek Joslin	D	OHL	Ottawa	182.5	210
Cal O'Reilly	C	OHL	Windsor	180.0	187
Jeff May	D	WHL	Prince Albert	185.0	201
Josh Beaulieu	C	OHL	London	182.5	180
Wacey Rabbit	C	WHL	Saskatoon	175.0	169
Ryan Reaves	RW	WHL	Brandon	182.5	225
Matt Keetley	G	WHL	Medicine Hat	182.5	187
Marek Kvapil	RW	OHL	Saginaw	177.5	172
Kevin Beech	G	OHL	Sudbury	190.0	168
Jason Lynch	D	WHL	Spokane	187.5	205
Mike Gauthier	D	WHL	Prince Albert	187.5	185
Sean Zimmerman	D	WHL	Spokane	185.0	220
Nick Drazenovic	C	WHL	Prince George	180.0	200
John Flatters	D	WHL	Red Deer	182.5	203
Derek Reinhart	D	WHL	Regina	187.5	205
Brett Sutter	F	WHL	Kootenay	180.0	200
Adam Dennis	G	OHL	London	177.5	183
William Colbert	D	OHL	Ottawa	185.0	210
Ryan McGinnis	D	OHL	Plymouth	185.0	197
Matt D'Agostini	RW	OHL	Guelph	180.0	200
Nicolas Blanchard	C	QMJHL	Chicoutimi	187.5	200
Jean-Philippe Paquet	D	QMJHL	Shawinigan	187.5	202
Nicholas Tuzzolino	D	OHL	Sarnia	195.0	225
Jean-Philippe Levasseur	G	QMJHL	Rouyn-Noranda	182.5	205
Riley Emmerson	D	WHL	Tri-City	200.0	230
Trevor Hendrikx	D	OHL	Peterborough	185.0	200
Adam Hobson	C	WHL	Spokane	182.5	219
Myles Stoesz	D	WHL	Spokane	185.0	210
Luciano Aquino	F	OHL	Brampton	172.5	198
Ryan Russell	C	WHL	Kootenay	175.0	174
Scott Todd	D	OHL	Windsor	190.0	221
Bretton Stamler	D	WHL	Seattle	182.5	201
Myles Rumsey	D	WHL	Swift Current	185.0	195
Kyle Cumiskey	D	WHL	Kelowna	175.0	185
John Seymour	LW	OHL	Brampton	187.5	176
