PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Corey Perry	RW	LDN	18	11	27	38	7	46	7	13	0	0	0	0	3	0	3	1	0	0	0	0	0.0	0	0	0.0	2.11	2.56
Rob Schremp	C	LDN	18	13	16	29	13	16	7	7	0	0	0	0	1	0	1	3	0	0	0	0	0.0	0	0	0.0	1.61	0.89
Michael Richards	C	KIT	15	11	17	28	10	36	2	9	4	0	0	0	4	1	2	1	0	0	0	0	0.0	0	0	0.0	1.87	2.4
David Bolland	RW	LDN	18	11	14	25	13	30	3	8	0	0	0	0	4	1	0	1	0	0	0	0	0.0	0	0	0.0	1.39	1.67
Mark Mancari	RW	OTT	21	14	10	24	11	24	4	5	1	0	0	0	1	0	1	3	0	0	0	0	0.0	0	0	0.0	1.14	1.14
Danny Fritsche	C	LDN	17	9	13	22	12	12	4	6	0	0	0	0	0	0	3	0	0	0	0	0	0.0	0	0	0.0	1.29	0.71
Chris Hulit	RW	OTT	21	11	10	21	4	12	2	1	3	0	0	0	2	0	4	2	0	0	0	0	0.0	0	0	0.0	1.0	0.57
Dylan Hunter	LW	LDN	18	10	11	21	5	16	5	6	0	0	0	0	2	0	1	4	0	0	0	0	0.0	0	0	0.0	1.17	0.89
Julian Talbot	C	OTT	21	8	12	20	0	31	2	2	0	3	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.95	1.48
Lukas Kaspar	LW	OTT	21	6	14	20	-2	8	0	9	0	0	0	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	0.95	0.38
Danny Syvret	D	LDN	18	5	15	20	19	4	2	9	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	1.11	0.22
Brad Staubitz	D	OTT	21	4	16	20	14	70	3	9	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.95	3.33
Jakub Petruzalek	LW	OTT	21	8	10	18	-2	30	2	3	0	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.86	1.43
Andre Benoit	D	KIT	15	5	13	18	9	6	2	8	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.2	0.4
Brad Bonello	C	OTT	21	8	9	17	10	50	3	4	1	1	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.81	2.38
Bryan Bickell	LW	OTT	21	5	12	17	3	32	2	5	0	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.81	1.52
Bryan Rodney	D	LDN	12	5	10	15	10	20	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	1.25	1.67
Benoit Pouliot	LW	SBY	12	6	8	14	3	20	3	4	0	0	0	0	2	1	0	0	0	0	0	0	0.0	0	0	0.0	1.17	1.67
Evan McGrath	C	KIT	15	7	6	13	4	6	2	3	1	0	0	0	0	0	2	2	0	0	0	0	0.0	0	0	0.0	0.87	0.4
Bobby Chaumont	RW	SBY	12	6	7	13	5	4	0	4	0	0	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	1.08	0.33
Jeremy Akeson	LW	OTT	21	5	8	13	2	18	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0.0	0	0	0.0	0.62	0.86
Liam Reddox	LW	PBO	14	3	10	13	-2	10	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.93	0.71
Daniel Ryder	C	PBO	14	9	3	12	-2	10	4	1	1	0	0	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.86	0.71
Trevor Hendrikx	D	PBO	14	5	7	12	1	14	4	4	0	1	0	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	0.86	1.0
Jordan Morrison	C	PBO	14	2	10	12	-8	6	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.86	0.43
Jamie Tardif	RW	PBO	14	8	3	11	-8	14	4	2	0	0	0	0	2	1	3	0	0	0	0	0	0.0	0	0	0.0	0.79	1.0
Craig Voakes	C	KIT	15	6	5	11	3	14	4	4	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.73	0.93
Jamie McGinn	LW	OTT	18	4	7	11	3	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.61	0.0
Will Colbert	D	OTT	21	3	8	11	-1	8	2	3	0	1	0	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.52	0.38
Brad Richardson	C	OS	8	6	4	10	2	8	4	2	0	0	0	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	1.25	1.0
Tyler Haskins	C	TOR	10	6	4	10	0	20	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0.0	0	0	0.0	1.0	2.0
Jadran Beljo	LW	PBO	14	6	4	10	5	10	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.71	0.71
Jeff Carter	C	SSM	7	5	5	10	0	6	3	3	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.43	0.86
John Scott Dickson	RW	WSR	11	5	5	10	1	11	1	2	0	0	0	0	2	2	1	0	0	0	0	0	0.0	0	0	0.0	0.91	1.0
Nick Foligno	C	SBY	12	5	5	10	4	16	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.83	1.33
Jordan Staal	C	PBO	14	5	5	10	7	16	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.71	1.14
Patrick Jarrett	C	OS	8	4	6	10	-1	10	1	4	0	0	0	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	1.25	1.25
