Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Connor Brown	RW	ER	68	45	83	128	44	22	20	34	4	1	0	0	6	0	6	5	2	2	2	1	100.0	0	0	0.0	1.88	0.32
Dane Fox	LW	ER	67	64	43	107	46	122	18	19	1	3	0	0	11	0	11	10	2	1	2	0	50.0	0	0	0.0	1.6	1.82
Scott Kosmachuk	RW	GUE	68	49	52	101	52	83	9	18	1	0	0	0	6	0	8	5	1	0	1	0	0.0	0	0	0.0	1.49	1.22
Connor McDavid	C	ER	56	28	71	99	47	20	7	24	2	0	0	0	4	1	3	3	1	1	1	0	100.0	0	0	0.0	1.77	0.36
Andreas Athanasiou	LW	BAR	66	49	46	95	24	52	11	20	4	1	0	0	8	0	6	4	6	3	6	1	50.0	0	0	0.0	1.44	0.79
Michael Dal Colle	LW	OSH	67	39	56	95	8	34	16	27	0	0	0	0	8	2	7	4	9	1	9	1	11.1	0	0	0.0	1.42	0.51
Nikolay Goldobin	RW	SAR	67	38	56	94	-30	21	10	19	0	0	0	0	2	1	6	0	7	4	7	0	57.1	0	0	0.0	1.4	0.31
Max Domi	LW	LDN	61	34	59	93	24	90	11	30	3	3	0	0	6	1	1	4	3	0	3	0	0.0	0	0	0.0	1.52	1.48
Sam Bennett	C	KGN	57	36	55	91	34	118	10	19	1	2	0	0	3	0	4	5	3	0	3	0	0.0	0	0	0.0	1.6	2.07
Sergey Tolchinsky	LW	SSM	66	31	60	91	-9	22	13	18	0	0	0	0	4	1	7	2	7	3	7	0	42.9	0	0	0.0	1.38	0.33
Kerby Rychel	LW	GUE	58	34	56	90	41	43	10	19	0	1	0	0	5	0	2	4	1	1	1	1	100.0	0	0	0.0	1.55	0.74
Nicholas Baptiste	RW	SBY	65	45	44	89	20	59	12	12	3	0	0	0	4	0	11	3	11	3	11	0	27.3	0	0	0.0	1.37	0.91
Chris Tierney	C	LDN	67	40	49	89	44	12	7	16	4	3	0	0	6	0	8	5	2	0	2	0	0.0	0	0	0.0	1.33	0.18
Robby Fabbri	C	GUE	58	45	42	87	45	55	14	14	0	0	0	0	11	1	9	5	2	1	2	1	50.0	0	0	0.0	1.5	0.95
Andre Burakovsky	LW	ER	57	41	46	87	46	35	15	21	0	2	0	0	10	0	5	5	1	0	1	0	0.0	0	0	0.0	1.53	0.61
Scott Laughton	C	OSH	54	40	47	87	12	72	13	28	5	2	0	0	7	0	9	7	9	4	9	0	44.4	0	0	0.0	1.61	1.33
Brock McGinn	LW	GUE	58	43	42	85	46	45	12	10	2	2	0	0	4	0	7	6	4	3	4	1	75.0	0	0	0.0	1.47	0.78
Josh Ho-Sang	RW	WSR	67	32	53	85	26	44	8	15	1	0	0	0	3	0	3	4	3	2	3	1	66.7	0	0	0.0	1.27	0.66
Brady Vail	C	WSR	67	32	51	83	29	39	3	26	2	1	0	0	5	0	8	1	1	1	1	1	100.0	0	0	0.0	1.24	0.58
Zack Mitchell	RW	GUE	67	31	52	83	52	40	9	12	3	1	0	0	7	0	1	5	1	0	1	0	0.0	0	0	0.0	1.24	0.6
Carter Verhaeghe	C	NIAG	65	28	54	82	-19	60	13	32	0	1	0	0	0	0	5	2	7	4	7	1	57.1	0	0	0.0	1.26	0.92
Jason Dickinson	LW	GUE	68	26	52	78	42	42	9	12	0	1	0	0	4	0	2	1	2	0	2	0	0.0	0	0	0.0	1.15	0.62
Kristoff Kontos	C	SAG	68	25	51	76	1	14	7	21	3	2	0	0	4	0	1	2	5	2	5	1	40.0	0	0	0.0	1.12	0.21
