PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Maxime Talbot	C	Hul	20	14	30	44	0	33	8	7	1	1	52	52	1	0	1	1	0	0	0	0	0.0	594	284	47.8	2.2	1.65
Mathieu Brunelle	LW	Hul	20	22	16	38	0	20	3	2	0	0	56	56	4	0	1	5	0	0	0	0	0.0	12	5	41.7	1.9	1.0
Jean-Michel Daoust	RW	Hul	20	12	25	37	0	28	4	5	0	1	59	59	2	0	2	2	0	0	0	0	0.0	30	9	30.0	1.85	1.4
Francois-Pierre Guenette	C	Hal	24	10	17	27	0	12	4	7	3	0	66	66	1	0	2	2	0	0	0	0	0.0	80	22	27.5	1.13	0.5
Brandon Benedict	C	Hal	25	8	18	26	0	22	3	8	1	1	82	82	2	0	1	1	0	0	0	0	0.0	53	29	54.7	1.04	0.88
Nicolas Corbeil	C	She	12	9	16	25	0	18	1	10	2	0	48	48	2	1	0	0	0	0	0	0	0.0	398	216	54.3	2.08	1.5
Stuart MacRae	C	Hal	25	6	19	25	0	12	0	9	0	0	78	78	3	1	0	0	0	0	0	0	0.0	409	203	49.6	1.0	0.48
Thatcher Bell	C	Hal	25	6	17	23	0	20	1	9	0	0	74	74	2	1	2	1	0	0	0	0	0.0	76	42	55.3	0.92	0.8
Jonathan Bellemare	C	Hul	20	9	13	22	0	22	1	8	0	0	33	33	1	0	2	0	0	0	0	0	0.0	346	170	49.1	1.1	1.1
Petr Vrana	C	Hal	24	5	15	20	0	12	1	9	0	0	68	68	1	0	1	1	0	0	0	0	0.0	378	212	56.1	0.83	0.5
Jean-Francois Cyr	RW	Hal	24	11	7	18	0	27	5	3	1	1	74	74	0	0	1	3	0	0	0	0	0.0	8	1	12.5	0.75	1.13
Marc-Andre Bernier	RW	Hal	21	9	8	17	0	8	6	2	0	0	48	48	2	0	2	0	0	0	0	0	0.0	46	13	28.3	0.81	0.38
Timofei Shishkanov	LW	Que	11	5	12	17	0	14	1	6	2	0	54	54	1	0	1	0	0	0	0	0	0.0	2	0	0.0	1.55	1.27
Steve Villeneuve	D	Hal	25	7	9	16	0	28	4	1	0	1	79	79	2	0	1	0	0	0	0	0	0.0	1	0	0.0	0.64	1.12
David Masse	LW	Que	11	6	10	16	0	6	2	4	0	0	58	58	2	0	1	1	0	0	0	0	0.0	7	2	28.6	1.45	0.55
Francis Trudel	D	She	12	5	11	16	0	24	3	5	0	0	43	43	0	0	0	0	0	0	0	0	0.0	1	1	100.0	1.33	2.0
Cory Urquhart	C	Mtl	7	9	6	15	0	6	3	4	0	0	32	32	1	0	1	1	0	0	0	0	0.0	210	86	41.0	2.14	0.86
Patrice Bergeron	C	Bat	11	6	9	15	0	6	2	4	0	0	30	30	0	0	0	1	0	0	0	0	0.0	186	102	54.8	1.36	0.55
Josh Hennessy	C	Que	11	6	9	15	0	10	2	3	1	1	48	48	1	0	2	1	0	0	0	0	0.0	306	156	51.0	1.36	0.91
Doug O'Brien	D	Hul	19	3	12	15	0	18	1	8	0	0	49	49	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.79	0.95
Dale Sullivan	RW	Hul	20	5	9	14	0	10	0	5	1	0	41	41	0	0	1	2	0	0	0	0	0.0	20	5	25.0	0.7	0.5
Jimmy Cuddihy	C	Sha	9	1	13	14	0	10	0	8	0	0	21	21	0	0	0	0	0	0	0	0	0.0	141	81	57.4	1.56	1.11
Milan Jurcina	D	Hal	25	6	6	12	0	40	5	4	0	0	57	57	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.48	1.6
Derrick Kent	C	Hal	25	6	6	12	0	27	1	2	0	2	39	39	0	0	2	1	0	0	0	0	0.0	470	273	58.1	0.48	1.08
A.J. MacLean	C	Hal	25	4	8	12	0	20	0	1	1	0	22	22	0	0	1	0	0	0	0	0	0.0	284	111	39.1	0.48	0.8
Petr Preucil	C	BaC	12	7	4	11	0	35	0	0	1	0	38	38	2	0	0	2	0	0	0	0	0.0	253	147	58.1	0.92	2.92
Jean-Francois Plourde	C	She	12	6	5	11	0	4	4	3	0	0	48	48	2	1	1	0	0	0	0	0	0.0	66	39	59.1	0.92	0.33
Tyler Reid	D	Hul	20	4	7	11	0	34	2	4	1	0	37	37	1	0	0	1	0	0	0	0	0.0	1	1	100.0	0.55	1.7
Benoit Mondou	C	Sha	9	3	8	11	0	8	3	6	0	0	23	23	1	0	1	0	0	0	0	0	0.0	225	114	50.7	1.22	0.89
Charles Linglet	LW	BaC	12	3	8	11	0	18	0	4	0	0	37	37	1	0	0	0	0	0	0	0	0.0	13	5	38.5	0.92	1.5
Charles Gauthier	LW	Sha	9	8	2	10	0	8	2	1	2	0	30	30	2	0	1	0	0	0	0	0	0.0	1	1	100.0	1.11	0.89
Guillaume Labrecque	C	Hul	20	6	4	10	0	8	1	3	0	0	16	16	3	0	0	0	0	0	0	0	0.0	13	5	38.5	0.5	0.4
Ryan Clowe	RW	Mtl	7	3	7	10	0	6	3	2	0	0	16	16	0	0	0	0	0	0	0	0	0.0	36	18	50.0	1.43	0.86
Joel Perrault	C	BaC	12	3	7	10	0	14	2	1	0	0	36	36	0	0	0	1	0	0	0	0	0.0	182	102	56.0	0.83	1.17
Olivier Fillion	C	Bat	11	2	8	10	0	2	0	5	0	0	38	38	1	0	1	0	0	0	0	0	0.0	20	12	60.0	0.91	0.18
Patrick Thoresen	C	BaC	12	2	8	10	0	8	1	4	0	0	45	45	0	0	0	0	0	0	0	0	0.0	285	164	57.5	0.83	0.67
Randy Upshall	D	Hal	19	2	8	10	0	10	0	1	0	0	19	19	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.53	0.53
Louis Robitaille	D	Mtl	7	0	10	10	0	12	0	4	0	1	20	20	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.43	1.71
Guillaume Berube	C	Que	11	7	2	9	0	17	2	0	2	0	26	26	0	0	1	0	0	0	0	0	0.0	301	120	39.9	0.82	1.55
Mark Hurtubise	C	VdO	9	5	4	9	0	4	1	2	1	0	24	24	1	1	2	1	0	0	0	0	0.0	213	106	49.8	1.0	0.44
James Sanford	D	Mon	6	4	5	9	0	15	1	2	0	0	23	23	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.5	2.5
