season_type	season_stats_url
2023-24 | Regular Season	https://chl.ca/lhjmq/en/stats/players/205/
Pre-Season 2023	https://chl.ca/lhjmq/en/stats/players/204/
2023 | Playoffs	https://chl.ca/lhjmq/en/stats/players/203/
2022-23 | Regular Season	https://chl.ca/lhjmq/en/stats/players/202/
Pre-Season 2022	https://chl.ca/lhjmq/en/stats/players/201/
2022 | Playoffs	https://chl.ca/lhjmq/en/stats/players/200/
2021-22 | Regular Season	https://chl.ca/lhjmq/en/stats/players/199/
Pre-Season 2021	https://chl.ca/lhjmq/en/stats/players/198/
2021 | Playoffs	https://chl.ca/lhjmq/en/stats/players/197/
2020-21 | Regular Season	https://chl.ca/lhjmq/en/stats/players/196/
Pre-Season 2020	https://chl.ca/lhjmq/en/stats/players/195/
2020 | Playoffs	https://chl.ca/lhjmq/en/stats/players/194/
2019-20 | Regular Season	https://chl.ca/lhjmq/en/stats/players/193/
Pre-Season 2019	https://chl.ca/lhjmq/en/stats/players/192/
2019 | Playoffs	https://chl.ca/lhjmq/en/stats/players/191/
2018-19 | Regular Season	https://chl.ca/lhjmq/en/stats/players/190/
Pre-Season 2018	https://chl.ca/lhjmq/en/stats/players/189/
2018 | Playoffs	https://chl.ca/lhjmq/en/stats/players/188/
2017-18 | Regular Season	https://chl.ca/lhjmq/en/stats/players/187/
Pre-Season 2017	https://chl.ca/lhjmq/en/stats/players/186/
2017 | Playoffs	https://chl.ca/lhjmq/en/stats/players/185/
2016-17 | Regular Season	https://chl.ca/lhjmq/en/stats/players/184/
Pre-Season 2016	https://chl.ca/lhjmq/en/stats/players/183/
2016 | Playoffs	https://chl.ca/lhjmq/en/stats/players/182/
2015-16 | Regular Season	https://chl.ca/lhjmq/en/stats/players/181/
Pre-Season 2015	https://chl.ca/lhjmq/en/stats/players/180/
2015 | Playoffs	https://chl.ca/lhjmq/en/stats/players/179/
2014-15 | Regular Season	https://chl.ca/lhjmq/en/stats/players/178/
Pre-Season 2014	https://chl.ca/lhjmq/en/stats/players/177/
2014 | Playoffs	https://chl.ca/lhjmq/en/stats/players/176/
2013-14 | Regular Season	https://chl.ca/lhjmq/en/stats/players/175/
Pre-Season 2013	https://chl.ca/lhjmq/en/stats/players/174/
2013 | Playoffs	https://chl.ca/lhjmq/en/stats/players/172/
2012-13 | Regular Season	https://chl.ca/lhjmq/en/stats/players/171/
Pre-Season 2012	https://chl.ca/lhjmq/en/stats/players/170/
2012 | Playoffs	https://chl.ca/lhjmq/en/stats/players/169/
2011-12 | Regular Season	https://chl.ca/lhjmq/en/stats/players/168/
Pre-Season 2011	https://chl.ca/lhjmq/en/stats/players/167/
2011 | Playoffs	https://chl.ca/lhjmq/en/stats/players/166/
2010-11 | Regular Season	https://chl.ca/lhjmq/en/stats/players/82/
2010 | Playoffs	https://chl.ca/lhjmq/en/stats/players/165/
2009-10 | Regular Season	https://chl.ca/lhjmq/en/stats/players/164/
2009 | Playoffs	https://chl.ca/lhjmq/en/stats/players/163/
2008-09 | Regular Season	https://chl.ca/lhjmq/en/stats/players/162/
2008 | Playoffs	https://chl.ca/lhjmq/en/stats/players/161/
2007-08 | Regular Season	https://chl.ca/lhjmq/en/stats/players/160/
2007 | Playoffs	https://chl.ca/lhjmq/en/stats/players/105/
2006-07 | Regular Season	https://chl.ca/lhjmq/en/stats/players/104/
2006 | Playoffs	https://chl.ca/lhjmq/en/stats/players/97/
2005-06 | Regular Season	https://chl.ca/lhjmq/en/stats/players/90/
2005 | Playoffs	https://chl.ca/lhjmq/en/stats/players/89/
2004-05 | Regular Season	https://chl.ca/lhjmq/en/stats/players/88/
2004 | Playoffs	https://chl.ca/lhjmq/en/stats/players/87/
2003-04 | Regular Season	https://chl.ca/lhjmq/en/stats/players/86/
2003 | Playoffs	https://chl.ca/lhjmq/en/stats/players/85/
