Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Sidney Crosby	C	Rim	59	54	81	135	49	74	20	38	3	6	280	280	5	1	5	8	0	0	0	0	0.0	1354	672	49.6	2.29	1.25
Dany Roussin	LW	Rim	66	59	58	117	38	70	23	24	5	3	274	274	6	2	7	6	0	0	0	0	0.0	608	289	47.5	1.77	1.06
Maxime Talbot	C	Gat	51	25	73	98	33	41	10	31	6	1	184	184	9	0	4	1	0	0	0	0	0.0	1321	703	53.2	1.92	0.8
Jean-Michel Daoust	RW	Gat	60	31	65	96	49	82	7	27	1	4	176	176	5	0	1	5	0	0	0	0	0.0	82	32	39.0	1.6	1.37
Benoit Mondou	C	Sha	68	34	61	95	17	32	12	26	4	3	229	229	7	1	7	3	0	0	0	0	0.0	1535	854	55.6	1.4	0.47
Pascal Pelletier	C	Sha	64	39	52	91	9	85	16	21	4	1	221	221	7	1	4	5	0	0	0	0	0.0	116	56	48.3	1.42	1.33
Yannick Tifu	C	Rou	70	42	48	90	6	39	12	21	0	0	269	269	9	0	7	3	0	0	0	0	0.0	328	145	44.2	1.29	0.56
Guillaume Fournier	RW	Gat	65	40	48	88	17	28	18	24	3	2	312	312	4	0	4	0	0	0	0	0	0.0	220	103	46.8	1.35	0.43
Francois-Pierre Guenette	C	Cap	69	34	51	85	31	26	13	14	0	1	187	187	5	0	8	5	0	0	0	0	0.0	123	56	45.5	1.23	0.38
Michael Lambert	LW	PEI	67	42	42	84	33	53	8	11	7	1	340	340	6	1	6	5	0	0	0	0	0.0	58	24	41.4	1.25	0.79
Karl Gagne	LW	Mon	68	24	60	84	36	20	8	19	0	1	188	188	4	2	7	4	0	0	0	0	0.0	1412	662	46.9	1.24	0.29
Josh Hennessy	C	Que	59	40	42	82	2	55	18	21	2	1	268	268	6	0	6	3	0	0	0	0	0.0	1540	821	53.3	1.39	0.93
Steve Bernier	RW	Mon	66	36	46	82	39	80	9	15	3	0	245	245	5	0	4	9	0	0	0	0	0.0	97	32	33.0	1.24	1.21
Alexandre Picard	LW	Lew	69	39	41	80	5	88	15	23	2	0	252	252	6	1	9	4	0	0	0	0	0.0	33	16	48.5	1.16	1.28
Cory Urquhart	C	PEI	67	35	44	79	31	52	8	10	3	7	253	253	7	3	7	5	0	0	0	0	0.0	1234	549	44.5	1.18	0.78
Louis-Philippe Martin	RW	Dru	65	27	52	79	0	66	8	22	0	0	228	228	4	1	5	4	0	0	0	0	0.0	95	43	45.3	1.22	1.02
Mathieu Betournay	LW	Mon	69	33	41	74	43	22	8	16	4	3	248	248	4	0	3	4	0	0	0	0	0.0	141	67	47.5	1.07	0.32
Jean-Francois Cyr	RW	Cap	60	31	43	74	36	42	5	13	1	0	209	209	3	0	9	3	0	0	0	0	0.0	36	13	36.1	1.23	0.7
Stephen Dixon	C	Cap	55	22	50	72	36	33	5	13	1	0	173	173	2	0	2	6	0	0	0	0	0.0	1124	648	57.7	1.31	0.6
Gabriel Balasescu	RW	Lew	65	37	34	71	3	95	18	16	1	2	205	205	3	0	3	3	0	0	0	0	0.0	835	371	44.4	1.09	1.46
Dominic Deblois	RW	Rou	51	32	38	70	-3	52	15	15	1	0	231	231	4	1	6	5	0	0	0	0	0.0	53	27	50.9	1.37	1.02
Robin Leblanc	RW	BaC	60	24	46	70	-21	81	8	26	2	0	224	224	2	0	3	3	0	0	0	0	0.0	19	12	63.2	1.17	1.35
Daniel Sparre	LW	Hal	71	35	33	68	-43	60	13	20	3	0	212	212	2	0	7	5	0	0	0	0	0.0	894	467	52.2	0.96	0.85
Alexei Shkotov	C	Que	43	27	40	67	6	26	10	23	1	0	151	151	3	0	8	4	0	0	0	0	0.0	20	3	15.0	1.56	0.6
Danny Stewart	LW	Rim	69	25	42	67	6	80	10	19	3	2	195	195	3	0	4	2	0	0	0	0	0.0	681	290	42.6	0.97	1.16
Mario Jr Scalzo	D	Vic	67	16	51	67	-23	113	8	33	1	2	286	286	1	0	2	2	0	0	0	0	0.0	0	0	0.0	1.0	1.69
Michael Tessier	LW	Cap	68	31	35	66	25	103	9	10	0	1	189	189	6	1	8	1	0	0	0	0	0.0	123	60	48.8	0.97	1.51
Francis Lemieux	C	Chi	70	22	44	66	-5	49	7	17	3	1	219	219	2	0	5	3	0	0	0	0	0.0	42	16	38.1	0.94	0.7
Brent Aubin	RW	Rou	70	29	36	65	-9	116	15	11	0	0	238	238	2	0	3	5	0	0	0	0	0.0	286	140	49.0	0.93	1.66
Olivier Latendresse	C	VdO	53	19	46	65	-13	44	9	23	0	0	131	131	2	0	2	2	0	0	0	0	0.0	971	530	54.6	1.23	0.83
Jonathan Paiement	D	Lew	68	13	52	65	0	140	6	27	1	1	247	247	1	0	3	1	0	0	0	0	0.0	0	0	0.0	0.96	2.06
Yannick Riendeau	RW	Dru	69	25	38	63	-17	60	9	18	0	1	225	225	6	0	3	0	0	0	0	0	0.0	761	383	50.3	0.91	0.87
Alex Bourret	C	Lew	65	22	41	63	6	94	14	13	0	2	187	187	4	0	3	3	0	0	0	0	0.0	1301	613	47.1	0.97	1.45
Doug O'Brien	D	Gat	66	17	46	63	52	146	7	22	0	2	248	248	4	2	3	1	0	0	0	0	0.0	0	0	0.0	0.95	2.21
Simon St-Pierre	C	Vic	67	24	38	62	-18	28	13	16	1	0	165	165	1	0	5	6	0	0	0	0	0.0	1469	830	56.5	0.93	0.42
Maxim Lapierre	C	PEI	67	25	36	61	10	138	3	10	2	3	197	197	6	0	1	4	0	0	0	0	0.0	1033	514	49.8	0.91	2.06
Francois Gagnon	LW	VdO	69	23	38	61	-18	67	11	16	1	1	220	220	4	0	3	3	0	0	0	0	0.0	327	117	35.8	0.88	0.97
Jonathan Jolette	D	Sha	65	14	47	61	25	138	8	27	0	2	176	176	1	0	2	3	0	0	0	0	0.0	0	0	0.0	0.94	2.12
Jonathan Boutin	RW	Sha	70	31	29	60	18	76	9	10	2	0	190	190	4	0	5	4	0	0	0	0	0.0	34	9	26.5	0.86	1.09
Bruno Champagne	C	Gat	65	14	46	60	9	38	4	23	0	1	128	128	2	0	1	3	0	0	0	0	0.0	639	367	57.4	0.92	0.58
Justin Laverdiere	RW	Que	64	32	26	58	-10	45	16	14	1	0	216	216	5	0	3	3	0	0	0	0	0.0	376	182	48.4	0.91	0.7
