PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Nicolas Petan	C	POR	17	10	18	28	7	20	3	5	0	0	0	0	3	1	2	0	0	0	0	0	0.0	0	0	0.0	1.65	1.18
Leon  Draisaitl	C	KEL	19	10	18	28	17	12	0	7	3	1	0	0	2	0	3	2	0	0	0	0	0.0	0	0	0.0	1.47	0.63
Nick Merkley	C	KEL	19	5	22	27	12	18	1	4	2	3	0	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	1.42	0.95
Adam Tambellini	C	CAL	16	13	13	26	1	10	3	8	1	0	0	0	4	3	0	0	0	0	0	0	0.0	0	0	0.0	1.63	0.63
Oliver Bjorkstrand	RW	POR	17	13	12	25	8	10	3	4	0	0	0	0	3	1	2	3	0	0	0	0	0.0	0	0	0.0	1.47	0.59
Tyson Baillie	C	KEL	19	10	14	24	14	24	4	1	0	0	0	0	5	2	2	0	0	0	0	0	0.0	0	0	0.0	1.26	1.26
Rourke Chartier	C	KEL	16	13	7	20	13	2	2	2	2	2	0	0	3	0	1	2	0	0	0	0	0.0	0	0	0.0	1.25	0.13
Peter Quenneville	RW	BDN	19	10	10	20	5	4	8	2	0	1	0	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	1.05	0.21
Jayce Hawryluk	C	BDN	16	10	9	19	-2	24	4	3	0	0	0	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	1.19	1.5
John Quenneville	C	BDN	19	10	9	19	8	18	4	0	0	0	0	0	1	1	2	2	0	0	0	0	0.0	0	0	0.0	1.0	0.95
Tim  McGauley	C	BDN	19	8	11	19	6	2	2	3	1	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	1.0	0.11
Chase De Leo	C	POR	17	7	12	19	-6	10	2	5	0	0	0	0	0	0	4	0	0	0	0	0	0.0	0	0	0.0	1.12	0.59
Madison Bowey	D	KEL	19	7	12	19	16	24	2	5	2	2	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.0	1.26
Travis Sanheim	D	CAL	17	5	13	18	0	10	1	7	0	0	0	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	1.06	0.59
Rihards Bukarts	LW	BDN	16	4	14	18	8	18	2	7	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.13	1.13
Brandon Magee	RW	VIC	10	9	6	15	5	18	1	2	0	1	0	0	3	1	0	0	0	0	0	0	0.0	0	0	0.0	1.5	1.8
