Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Eric Fehr	RW	BRN	71	59	52	111	26	91	31	24	2	3	59	0	12	5	9	7	0	0	0	0	0.0	0	0	0.0	1.56	1.28
Ryan Stone	C	BRN	70	33	66	99	23	127	12	40	4	2	33	0	8	0	9	4	0	0	0	0	0.0	0	0	0.0	1.41	1.81
Gilbert Brule	C	VAN	70	39	48	87	4	169	13	19	4	2	39	0	8	1	4	4	0	0	0	0	0.0	0	0	0.0	1.24	2.41
Tim Konsorada	RW	BRN	71	29	58	87	7	43	14	37	1	0	29	0	4	2	5	4	0	0	0	0	0.0	0	0	0.0	1.23	0.61
Colton Yellow Horn	LW	LET	70	35	51	86	29	40	14	18	5	2	35	0	7	1	3	5	0	0	0	0	0.0	0	0	0.0	1.23	0.57
Jonathan Filewich	RW	LET	68	42	38	80	18	26	19	12	1	3	42	0	6	1	4	5	0	0	0	0	0.0	0	0	0.0	1.18	0.38
Adam Courchaine	C	VAN	71	28	50	78	8	32	10	18	0	1	28	0	5	2	3	4	0	0	0	0	0.0	0	0	0.0	1.1	0.45
Stefan Meyer	C	M.H	69	34	43	77	21	104	12	19	2	1	34	0	5	1	3	9	0	0	0	0	0.0	0	0	0.0	1.12	1.51
Nigel Dawes	LW	KTN	63	50	26	76	26	30	18	9	2	0	50	0	14	0	8	10	0	0	0	0	0.0	0	0	0.0	1.21	0.48
Kenndal McArdle	LW	M.J	70	37	37	74	-4	122	17	13	2	2	37	0	4	0	6	4	0	0	0	0	0.0	0	0	0.0	1.06	1.74
Clarke MacArthur	C	M.H	58	30	44	74	27	100	9	23	1	0	30	0	5	0	7	2	0	0	0	0	0.0	0	0	0.0	1.28	1.72
Ryan Keller	RW	SAS	67	40	33	73	27	63	6	12	6	1	40	0	9	1	9	1	0	0	0	0	0.0	0	0	0.0	1.09	0.94
Dan Da Silva	RW	POR	71	31	42	73	-8	127	11	20	2	0	31	0	10	1	8	2	0	0	0	0	0.0	0	0	0.0	1.03	1.79
Ty Morris	LW	RDR	66	28	44	72	17	63	10	18	0	0	28	0	5	0	6	4	0	0	0	0	0.0	0	0	0.0	1.09	0.95
Dale Mahovsky	C	KTN	71	24	47	71	14	112	8	19	0	0	24	0	6	0	5	3	0	0	0	0	0.0	0	0	0.0	1.0	1.58
Roman Wick	LW	RDR	66	32	38	70	15	25	14	19	0	0	32	0	3	1	4	3	0	0	0	0	0.0	0	0	0.0	1.06	0.38
Colin Fraser	C	RDR	63	24	43	67	17	148	10	22	0	0	24	0	3	0	3	8	0	0	0	0	0.0	0	0	0.0	1.06	2.35
Wacey Rabbit	C	SAS	70	22	45	67	23	70	7	17	1	2	22	0	6	1	2	4	0	0	0	0	0.0	0	0	0.0	0.96	1.0
Lance Monych	RW	BRN	64	30	36	66	9	88	15	20	3	1	30	0	4	1	5	1	0	0	0	0	0.0	0	0	0.0	1.03	1.38
