season_type	season_stats_url
2023 - 24 Regular Season	https://chl.ca/whl/stats/players/281/
2023 - 24 Pre-Season	https://chl.ca/whl/stats/players/282/
2023 WHL Playoffs	https://chl.ca/whl/stats/players/280/
2022 - 23 Regular Season	https://chl.ca/whl/stats/players/279/
2022 - 23 Pre-Season	https://chl.ca/whl/stats/players/278/
2022 WHL Playoffs	https://chl.ca/whl/stats/players/277/
2021 - 22 Regular Season	https://chl.ca/whl/stats/players/275/
2021 Pre Season	https://chl.ca/whl/stats/players/274/
2020 - 21 Regular Season	https://chl.ca/whl/stats/players/273/
2019 - 20 Regular Season	https://chl.ca/whl/stats/players/270/
2019 Pre Season	https://chl.ca/whl/stats/players/269/
2019 WHL Playoffs	https://chl.ca/whl/stats/players/267/
19 Tie Break	https://chl.ca/whl/stats/players/268/
2018 - 19 Regular Season	https://chl.ca/whl/stats/players/266/
2018 Pre Season	https://chl.ca/whl/stats/players/265/
2018 WHL Playoffs	https://chl.ca/whl/stats/players/264/
2017 - 18 Regular Season	https://chl.ca/whl/stats/players/262/
2017 Pre Season	https://chl.ca/whl/stats/players/261/
2017 WHL Playoffs	https://chl.ca/whl/stats/players/260/
2016 - 17 Regular Season	https://chl.ca/whl/stats/players/257/
2016 Pre Season	https://chl.ca/whl/stats/players/256/
16 Tie Break	https://chl.ca/whl/stats/players/255/
2016 WHL Playoffs	https://chl.ca/whl/stats/players/254/
2015-16 Regular Season	https://chl.ca/whl/stats/players/251/
2015 Preseason	https://chl.ca/whl/stats/players/252/
2015 WHL Playoffs	https://chl.ca/whl/stats/players/250/
2014-15 Regular Season	https://chl.ca/whl/stats/players/249/
2014 Preseason	https://chl.ca/whl/stats/players/248/
2014 WHL Playoffs	https://chl.ca/whl/stats/players/246/
2014 Tie-Break	https://chl.ca/whl/stats/players/247/
2013-14 Regular Season	https://chl.ca/whl/stats/players/245/
2013 WHL Preseason	https://chl.ca/whl/stats/players/244/
2013 WHL Playoffs	https://chl.ca/whl/stats/players/243/
2012-13 Regular Season	https://chl.ca/whl/stats/players/242/
2012 WHL Preseason	https://chl.ca/whl/stats/players/241/
2012 WHL Playoffs	https://chl.ca/whl/stats/players/240/
2011-12 Regular Season	https://chl.ca/whl/stats/players/238/
2011 WHL Preseason	https://chl.ca/whl/stats/players/239/
2011 WHL Playoffs	https://chl.ca/whl/stats/players/237/
2010-11 Regular Season	https://chl.ca/whl/stats/players/236/
2010 WHL Playoffs	https://chl.ca/whl/stats/players/235/
2009-10 Regular Season	https://chl.ca/whl/stats/players/234/
2009 WHL Playoffs	https://chl.ca/whl/stats/players/232/
2009 WHL Tie-break	https://chl.ca/whl/stats/players/233/
2008-09 Regular Season	https://chl.ca/whl/stats/players/231/
2008 WHL Playoffs	https://chl.ca/whl/stats/players/230/
2007-08 Regular Season	https://chl.ca/whl/stats/players/229/
2007 WHL Playoffs	https://chl.ca/whl/stats/players/228/
2006-07 WHL Season	https://chl.ca/whl/stats/players/227/
2006 WHL Playoffs	https://chl.ca/whl/stats/players/226/
2005-06 WHL Season	https://chl.ca/whl/stats/players/225/
2005 WHL Playoffs	https://chl.ca/whl/stats/players/224/
2004-05 WHL Season	https://chl.ca/whl/stats/players/223/
2004 WHL Playoffs	https://chl.ca/whl/stats/players/222/
2003-2004 WHL Season	https://chl.ca/whl/stats/players/220/
2003 WHL Playoffs	https://chl.ca/whl/stats/players/219/
2002-03 WHL Season	https://chl.ca/whl/stats/players/217/
2002 WHL Playoffs	https://chl.ca/whl/stats/players/216/
2001-2002 WHL Season	https://chl.ca/whl/stats/players/215/
2001 WHL Playoffs	https://chl.ca/whl/stats/players/214/
2000-2001 WHL Season	https://chl.ca/whl/stats/players/213/
2000 WHL Playoffs	https://chl.ca/whl/stats/players/212/
1999-2000 WHL Season	https://chl.ca/whl/stats/players/211/
1999 WHL Playoffs	https://chl.ca/whl/stats/players/210/
1998-99 WHL Season	https://chl.ca/whl/stats/players/209/
1998 WHL Playoffs	https://chl.ca/whl/stats/players/207/
1997-98 WHL Season	https://chl.ca/whl/stats/players/206/
1997 WHL Playoffs	https://chl.ca/whl/stats/players/205/
1996-97 WHL Season	https://chl.ca/whl/stats/players/204/
1996 WHL Playoffs	https://chl.ca/whl/stats/players/202/
