League	GP	G	A	PTS	PGP	PG	PA	PPTS	Proj_PTS/GP	Position	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G	Year	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G	Height	Weight
OHL	56	43	73	116	9	4	5	9	NHL [1.0, ...]	C	28	43	13	26	3	5	0	0	9	2	2	6	0	0	0	0	0.0	0	0	0.0	2.07	0.77	2000-01	-4	10	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	1.0	1.11	187.5	216
OHL	62	40	47	87	18	7	16	23	NHL [0.4, 0.6)	C	28	45	16	21	1	1	0	0	6	0	9	2	0	0	0	0	0.0	0	0	0.0	1.4	0.73	2000-01	14	10	1	6	0	1	0	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	1.28	0.56	177.5	185
QMJHL	68	36	64	100	5	2	3	5	NHL [0.8, 1.0)	RW	0	67	14	33	1	0	185	185	4	0	7	2	0	0	0	0	0.0	81	38	46.9	1.47	0.99	2000-01	0	2	0	3	0	0	16	16	0	0	0	1	0	0	0	0	0.0	4	1	25.0	1.0	0.4	180.0	184
WHL	72	36	42	78	21	6	6	12	NHL [0.8, 1.0)	C	44	0	10	16	4	1	36	0	8	1	3	5	0	0	0	0	0.0	0	0	0.0	1.08	0.0	2000-01	2	0	0	2	1	0	6	0	1	1	2	1	0	0	0	0	0.0	0	0	0.0	0.57	0.0	185.0	195
WHL	69	55	46	101	22	10	12	22	NHL [0.2, 0.4)	RW	46	0	24	14	0	0	55	0	9	2	12	8	0	0	0	0	0.0	0	0	0.0	1.46	0.0	2000-01	3	0	5	5	0	0	10	0	3	1	3	0	0	0	0	0	0.0	0	0	0.0	1.0	0.0	185.0	210
WHL	68	38	54	92	19	9	12	21	AHL [0.4, 0.6)	RW	22	0	17	23	2	1	38	0	3	0	6	2	0	0	0	0	0.0	0	0	0.0	1.35	0.0	2000-01	-1	0	2	3	1	0	9	0	2	1	1	1	0	0	0	0	0.0	0	0	0.0	1.11	0.0	182.5	196
WHL	60	21	19	40	3	1	1	2	Other	C	3	0	3	7	1	0	21	0	3	0	4	3	0	0	0	0	0.0	0	0	0.0	0.67	0.0	2000-01	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	0.0	195.0	219
OHL	66	22	32	54	4	0	1	1	AHL [0.6, 0.8)	C	-1	64	8	14	0	0	0	0	3	2	4	3	0	0	0	0	0.0	0	0	0.0	0.82	0.97	2000-01	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	2.25	187.5	230
WHL	65	38	28	66	4	4	1	5	AHL [0.0, 0.2)	C	-1	0	23	12	0	0	38	0	5	0	8	4	0	0	0	0	0.0	0	0	0.0	1.02	0.0	2000-01	3	0	3	1	0	0	4	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	1.25	0.0	195.0	240
QMJHL	71	46	67	113	10	6	6	12	NHL [0.4, 0.6)	RW	0	24	18	34	0	0	241	241	5	1	5	9	0	0	0	0	0.0	30	13	43.3	1.59	0.34	2000-01	0	0	1	5	0	0	39	39	0	0	0	0	0	0	0	0	0.0	6	4	66.7	1.2	0.0	180.0	185
